Supplemental Data1:  Measurements of Protein degradation rates in hydroponic plants Arabidopsis,,,,,,,,,,,,,
Criteria: 1. Quantified KD at least two biological Replicates. 2.At least three peptides were used for KD Measurements.3. Outliers in Major Fun Cats (no less than 4 proteins) were highlighted by Red-Bold Fonts.,,,,,,,,,,,,,
AGI,Anno,Location SUBAcon,bincode,binname,Functional Categories (no less than 4 proteins at the 2nd level Mapcave of binname),WTR1 KD (FCP=2.73),WTR2 KD (FCP=2.51),WTR3 KD (FCP=2.64),WT KD (Average),Rep NO,SD,Pep NO,KD Value Rank (1-455)
AT3G44370.1,"  Symbols:    Membrane insertion protein, OxaA/YidC with tetratricopeptide repeat domain   chr3:16030515-16035147 REVERSE LENGTH=566",mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.15,0.17,0.17,0.16,3,0.01,3,403
AT5G51220.1,  Symbols:    ubiquinol-cytochrome C chaperone family protein   chr5:20821405-20823125 REVERSE LENGTH=281,mitochondrion,#29.3.99,protein.targeting.unknown,Protein Targeting,0.17,0.2,0.14,0.17,3,0.03,5,407
AT3G27080.1,  Symbols: TOM20-3   translocase of outer membrane 20 kDa subunit 3   chr3:9985212-9986560 REVERSE LENGTH=202,mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.18,0.21,0.12,0.17,3,0.04,5,409
AT5G43970.1,"  Symbols: TOM22-V, TOM9-2, ATTOM22-V   translocase of outer membrane 22-V   chr5:17692888-17693187 FORWARD LENGTH=99",mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.2,0.2,0.21,0.2,3,0.01,13,421
"AT2G37410.1, AT2G37410.2","  Symbols: ATTIM17-2, TIM17, TIM17-2   translocase inner membrane subunit 17-2   chr2:15698119-15698850 REVERSE LENGTH=243,  Symbols: ATTIM17-2, TIM17, TIM17-2   translocase inner membrane subunit 17-2   chr2:15698119-15698850 REVERSE LENGTH=243",mitochondrion,#29.3.2,protein.targeting.mitochondria,Protein Targeting,0.21,0.5,0.5,0.4,3,0.16,3,453
AT1G74230.1,  Symbols: GR-RBP5   glycine-rich RNA-binding protein 5   chr1:27915346-27916857 FORWARD LENGTH=289,mitochondrion,#27.4,RNA.RNA binding,RNA binding,0.12,0.14,0.13,0.13,3,0,10,371
AT1G18630.1,  Symbols: GR-RBP6   glycine-rich RNA-binding protein 6   chr1:6415226-6416283 FORWARD LENGTH=155,mitochondrion,#27.4,RNA.RNA binding,RNA binding,0.14,0.17,0.15,0.15,3,0,19,398
AT5G61030.1,  Symbols: GR-RBP3   glycine-rich RNA-binding protein 3   chr5:24560870-24562152 FORWARD LENGTH=309,mitochondrion,#27.4,RNA.RNA binding,RNA binding,0.2,0.26,0.22,0.22,3,0.02,6,430
AT5G54580.1,  Symbols:    RNA-binding (RRM/RBD/RNP motifs) family protein   chr5:22171332-22172656 FORWARD LENGTH=156,mitochondrion,#27.4,RNA.RNA binding,RNA binding,0.41,0.46,0.47,0.45,3,0.03,7,454
AT1G62110.1,  Symbols:    Mitochondrial transcription termination factor family protein   chr1:22958094-22959482 REVERSE LENGTH=462,mitochondrion,#27.3.99,RNA.regulation of transcription.unclassified,RNA Regulation,0,0,0,0,3,0.01,3,55
AT1G60770.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr1:22366959-22368648 REVERSE LENGTH=491,mitochondrion,#27.3.67,RNA.regulation of transcription.putative transcription regulator,RNA Regulation,0,0,0.02,0,3,0.02,21,63
AT1G15480.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr1:5318307-5320422 FORWARD LENGTH=594,mitochondrion,#27.3.67,RNA.regulation of transcription.putative transcription regulator,RNA Regulation,0.03,0.03,0.04,0.03,3,0.01,10,135
AT4G11060.1,  Symbols: MTSSB   mitochondrially targeted single-stranded DNA binding protein   chr4:6754820-6756230 REVERSE LENGTH=201,mitochondrion,#27.3.99,RNA.regulation of transcription.unclassified,RNA Regulation,0.05,0.03,0.03,0.04,3,0.02,9,150
AT5G09450.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr5:2941864-2943324 FORWARD LENGTH=409,mitochondrion,#27.3.67,RNA.regulation of transcription.putative transcription regulator,RNA Regulation,,0.08,0.01,0.04,2,0.04,3,169
AT1G61980.1,  Symbols:    Mitochondrial transcription termination factor family protein   chr1:22908162-22909418 FORWARD LENGTH=418,mitochondrion,#27.3.99,RNA.regulation of transcription.unclassified,RNA Regulation,0.05,0.06,0.06,0.05,3,0,3,217
"AT1G80270.1, AT1G80270.2, AT1G80270.3","  Symbols: PPR596   PENTATRICOPEPTIDE REPEAT 596   chr1:30181265-30183331 FORWARD LENGTH=596,  Symbols: PPR596   PENTATRICOPEPTIDE REPEAT 596   chr1:30181265-30183331 FORWARD LENGTH=596,  Symbols: PPR596   PENTATRICOPEPTIDE REPEAT 596   chr1:30181265-30183331 FORWARD LENGTH=596","mitochondrion,plastid",#27.3.67,RNA.regulation of transcription.putative transcription regulator,RNA Regulation,0.07,0.08,0.06,0.07,3,0.01,14,254
AT3G15590.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr3:5275568-5277658 REVERSE LENGTH=610,mitochondrion,#27.3.67,RNA.regulation of transcription.putative transcription regulator,RNA Regulation,0.08,0.07,0.12,0.09,3,0.03,18,313
AT3G18580.1,"  Symbols:    Nucleic acid-binding, OB-fold-like protein   chr3:6396940-6398068 REVERSE LENGTH=217",mitochondrion,#27.3.99,RNA.regulation of transcription.unclassified,RNA Regulation,0.03,0.2,,0.11,2,0.11,3,348
AT1G02370.1,  Symbols:    Tetratricopeptide repeat (TPR)-like superfamily protein   chr1:474516-476383 FORWARD LENGTH=537,mitochondrion,#27.3.67,RNA.regulation of transcription.putative transcription regulator,RNA Regulation,0.12,0.13,0.11,0.12,3,0.01,8,357
AT1G34360.1,  Symbols:    translation initiation factor 3 (IF-3) family protein   chr1:12542986-12546025 FORWARD LENGTH=520,mitochondrion,#27.3.67,RNA.regulation of transcription.putative transcription regulator,RNA Regulation,0.27,0.26,0.21,0.24,3,0.03,3,439
AT1G61990.1,  Symbols:    Mitochondrial transcription termination factor family protein   chr1:22911453-22912697 FORWARD LENGTH=414,mitochondrion,#27.3.99,RNA.regulation of transcription.unclassified,RNA Regulation,0.24,0.31,0.28,0.27,3,0.02,3,445
AT3G07770.1,"  Symbols: Hsp89.1, AtHsp90.6, AtHsp90-6   HEAT SHOCK PROTEIN 89.1   chr3:2479611-2483970 FORWARD LENGTH=799",mitochondrion,#20.2.1,stress.abiotic.heat,Heat Stress,0.03,0.04,0.04,0.03,3,0.01,71,141
AT5G09590.1,"  Symbols: MTHSC70-2, HSC70-5   mitochondrial HSO70 2   chr5:2975721-2978508 FORWARD LENGTH=682",mitochondrion,#20.2.1,stress.abiotic.heat,Heat Stress,0.04,0.06,0.05,0.05,3,0,68,187
AT2G25140.1,"  Symbols: HSP98.7, CLPB-M, CLPB4   casein lytic proteinase B4   chr2:10697877-10701998 REVERSE LENGTH=964",mitochondrion,#20.2.1,stress.abiotic.heat,Heat Stress,0.1,0.06,0.1,0.08,3,0.03,4,301
AT5G48030.1,  Symbols: GFA2   gametophytic factor 2   chr5:19466298-19469753 REVERSE LENGTH=456,mitochondrion,#20.2.1,stress.abiotic.heat,Heat Stress,0.06,0.28,0.06,0.13,3,0.12,11,375
AT4G37910.1,  Symbols: mtHsc70-1   mitochondrial heat shock protein 70-1   chr4:17825368-17828099 REVERSE LENGTH=682,mitochondrion,#20.2.1,stress.abiotic.heat,Heat Stress,0.16,0.19,0.18,0.17,3,0.01,82,411
AT5G51440.1,  Symbols:    HSP20-like chaperones superfamily protein   chr5:20891242-20892013 FORWARD LENGTH=210,mitochondrion,#20.2.1,stress.abiotic.heat,Heat Stress,0.19,0.27,0.1,0.19,3,0.08,6,416
AT2G44520.1,  Symbols: COX10   cytochrome c oxidase 10   chr2:18379660-18381731 FORWARD LENGTH=431,mitochondrion,#19.99,tetrapyrrole synthesis.unspecified,TCA,-0.03,-0.03,-0.02,-0.03,3,0.01,3,6
"AT1G54220.1, AT1G54220.2","  Symbols:    Dihydrolipoamide acetyltransferase, long form protein   chr1:20246460-20250208 REVERSE LENGTH=539,  Symbols:    Dihydrolipoamide acetyltransferase, long form protein   chr1:20246460-20250208 REVERSE LENGTH=539",mitochondrion,#8.1.1.2,TCA / org transformation.TCA.pyruvate DH.E2,TCA,0.01,0,0.01,0,3,0.01,35,65
AT5G23250.1,"  Symbols:    Succinyl-CoA ligase, alpha subunit   chr5:7830460-7832491 FORWARD LENGTH=341",mitochondrion,#8.1.6,TCA / org transformation.TCA.succinyl-CoA ligase,TCA,0.02,0.02,0.02,0.02,3,0.01,3,94
"AT2G47510.1, AT2G47510.2","  Symbols: FUM1   fumarase 1   chr2:19498614-19502020 FORWARD LENGTH=492,  Symbols: FUM1   fumarase 1   chr2:19498614-19502020 FORWARD LENGTH=492",mitochondrion,#8.1.8,TCA / org transformation.TCA.fumarase,TCA,0.02,0.03,0.03,0.02,3,0.01,31,116
AT1G53240.1,  Symbols: mMDH1   Lactate/malate dehydrogenase family protein   chr1:19854966-19856802 REVERSE LENGTH=341,mitochondrion,#8.1.9,TCA / org transformation.TCA.malate DH,TCA,0.03,0.03,0.03,0.03,3,0.01,21,127
"AT1G48030.1, AT1G48030.2","  Symbols: mtLPD1   mitochondrial lipoamide dehydrogenase 1   chr1:17717432-17719141 REVERSE LENGTH=507,  Symbols: mtLPD1   mitochondrial lipoamide dehydrogenase 1   chr1:17717432-17719141 REVERSE LENGTH=507",mitochondrion,#8.1.1.3,TCA / org transformation.TCA.pyruvate DH.E3,TCA,0.04,0.02,0.04,0.03,3,0.02,58,138
AT3G13930.1,"  Symbols:    Dihydrolipoamide acetyltransferase, long form protein   chr3:4596240-4600143 FORWARD LENGTH=539",mitochondrion,#8.1.1.2,TCA / org transformation.TCA.pyruvate DH.E2,TCA,0.03,0.04,0.04,0.03,3,0.01,59,139
AT1G59900.1,"  Symbols: AT-E1 ALPHA, E1 ALPHA   pyruvate dehydrogenase complex E1 alpha subunit   chr1:22051368-22053660 FORWARD LENGTH=389",mitochondrion,#8.1.1.1,TCA / org transformation.TCA.pyruvate DH.E1,TCA,0.05,0.04,0.04,0.04,3,0.01,31,168
AT3G55410.1,"  Symbols:    2-oxoglutarate dehydrogenase, E1 component   chr3:20541897-20545728 FORWARD LENGTH=1017",mitochondrion,#8.1.5,TCA / org transformation.TCA.2-oxoglutarate dehydrogenase,TCA,0.03,0.05,0.05,0.04,3,0.01,75,174
AT5G14590.1,  Symbols:    Isocitrate/isopropylmalate dehydrogenase family protein   chr5:4703533-4706627 REVERSE LENGTH=485,mitochondrion,#8.1.4,TCA / org transformation.TCA.IDH,TCA,0.05,0.05,0.05,0.05,3,0.01,32,183
AT5G50850.1,  Symbols: MAB1   Transketolase family protein   chr5:20689671-20692976 FORWARD LENGTH=363,mitochondrion,#8.1.1.1,TCA / org transformation.TCA.pyruvate DH.E1,TCA,0.05,0.05,0.05,0.05,3,0.01,39,188
AT4G35260.1,"  Symbols: IDH1, IDH-I   isocitrate dehydrogenase 1   chr4:16774494-16776233 REVERSE LENGTH=367",mitochondrion,#8.1.4,TCA / org transformation.TCA.IDH,TCA,0.04,0.05,0.06,0.05,3,0.01,24,192
AT3G15020.1,  Symbols: mMDH2   Lactate/malate dehydrogenase family protein   chr3:5056139-5057941 FORWARD LENGTH=341,mitochondrion,#8.1.9,TCA / org transformation.TCA.malate DH,TCA,0.06,0.05,0.04,0.05,3,0.02,5,206
AT5G40650.1,  Symbols: SDH2-2   succinate dehydrogenase 2-2   chr5:16281462-16283296 FORWARD LENGTH=280,mitochondrion,#8.1.7,TCA / org transformation.TCA.succinate dehydrogenase,TCA,0.03,0.08,0.05,0.05,3,0.02,6,208
AT5G08300.1,"  Symbols:    Succinyl-CoA ligase, alpha subunit   chr5:2667579-2669672 FORWARD LENGTH=347",mitochondrion,#8.1.6,TCA / org transformation.TCA.succinyl-CoA ligase,TCA,0.05,0.05,0.06,0.05,3,0.01,22,211
"AT2G44350.1, AT2G44350.2","  Symbols: ATCS, CSY4   Citrate synthase family protein   chr2:18316673-18320524 FORWARD LENGTH=473,  Symbols: ATCS, CSY4   Citrate synthase family protein   chr2:18316673-18320524 FORWARD LENGTH=474",mitochondrion,#8.1.2,TCA / org transformation.TCA.CS,TCA,0.06,0.06,0.06,0.06,3,0.01,47,229
AT2G20420.1,  Symbols:    ATP citrate lyase (ACL) family protein   chr2:8805574-8807858 FORWARD LENGTH=421,mitochondrion,#8.1.6,TCA / org transformation.TCA.succinyl-CoA ligase,TCA,0.06,0.06,0.06,0.06,3,0.01,64,230
"AT3G17240.1, AT3G17240.3","  Symbols: mtLPD2   lipoamide dehydrogenase 2   chr3:5890278-5892166 REVERSE LENGTH=507,  Symbols: mtLPD2   lipoamide dehydrogenase 2   chr3:5890278-5892166 REVERSE LENGTH=507",mitochondrion,#8.1.1.3,TCA / org transformation.TCA.pyruvate DH.E3,TCA,0.06,0.07,0.07,0.06,3,0.01,52,248
AT1G24180.1,  Symbols: IAR4   Thiamin diphosphate-binding fold (THDP-binding) superfamily protein   chr1:8560777-8563382 REVERSE LENGTH=393,mitochondrion,#8.1.1.1,TCA / org transformation.TCA.pyruvate DH.E1,TCA,0.07,0.07,0.07,0.07,3,0.01,35,255
AT5G66760.1,  Symbols: SDH1-1   succinate dehydrogenase 1-1   chr5:26653776-26657224 FORWARD LENGTH=634,mitochondrion,#8.1.7,TCA / org transformation.TCA.succinate dehydrogenase,TCA,0.06,0.08,0.07,0.07,3,0,31,256
"AT3G52200.1, AT3G52200.2","  Symbols: LTA3   Dihydrolipoamide acetyltransferase, long form protein   chr3:19360317-19366091 FORWARD LENGTH=637,  Symbols: LTA3   Dihydrolipoamide acetyltransferase, long form protein   chr3:19360317-19366091 FORWARD LENGTH=713",mitochondrion,#8.1.1.2,TCA / org transformation.TCA.pyruvate DH.E2,TCA,0.06,0.08,0.08,0.07,3,0.01,59,271
AT4G26970.1,  Symbols: ACO2   aconitase 2   chr4:13543077-13548427 FORWARD LENGTH=995,mitochondrion,#8.1.3,TCA / org transformation.TCA.aconitase,TCA,0.06,0.08,0.08,0.07,3,0.01,97,272
AT5G65750.1,"  Symbols:    2-oxoglutarate dehydrogenase, E1 component   chr5:26304212-26307947 FORWARD LENGTH=1025",mitochondrion,#8.1.5,TCA / org transformation.TCA.2-oxoglutarate dehydrogenase,TCA,0.07,0.09,0.09,0.08,3,0.01,51,295
"AT3G27380.1, AT3G27380.2","  Symbols: SDH2-1   succinate dehydrogenase 2-1   chr3:10131209-10132673 REVERSE LENGTH=279,  Symbols: SDH2-1   succinate dehydrogenase 2-1   chr3:10131209-10132673 REVERSE LENGTH=279",mitochondrion,#8.1.7,TCA / org transformation.TCA.succinate dehydrogenase,TCA,0.08,0.1,0.09,0.09,3,0,12,310
AT2G05710.1,  Symbols: ACO3   aconitase 3   chr2:2141591-2146350 FORWARD LENGTH=990,mitochondrion,#8.1.3,TCA / org transformation.TCA.aconitase,TCA,0.08,0.1,0.1,0.09,3,0,75,319
"AT2G17130.1, AT2G17130.2","  Symbols: IDH2, IDH-II   isocitrate dehydrogenase subunit 2   chr2:7461062-7462466 REVERSE LENGTH=367,  Symbols: IDH2, IDH-II   isocitrate dehydrogenase subunit 2   chr2:7461062-7462466 REVERSE LENGTH=363",mitochondrion,#8.1.4,TCA / org transformation.TCA.IDH,TCA,0.1,0.11,0.11,0.1,3,0.01,15,340
AT1G51610.1,  Symbols:    Cation efflux family protein   chr1:19136625-19139621 FORWARD LENGTH=457,mitochondrion,#34.12,transport.metal,Metabolite Transporters,-0.13,0.09,-0.12,-0.06,3,0.11,5,1
AT5G19760.1,  Symbols:    Mitochondrial substrate carrier family protein   chr5:6679591-6681845 REVERSE LENGTH=298,mitochondrion,#34.9,transport.metabolite transporters at the mitochondrial membrane,Metabolite Transporters,0.02,0.01,0.02,0.02,3,0.01,42,92
AT1G14140.1,  Symbols:    Mitochondrial substrate carrier family protein   chr1:4838131-4839602 REVERSE LENGTH=305,mitochondrion,#34.9,transport.metabolite transporters at the mitochondrial membrane,Metabolite Transporters,0.03,0.01,0.03,0.02,3,0.02,11,107
AT5G14040.1,  Symbols: PHT3;1   phosphate transporter 3;1   chr5:4531059-4532965 REVERSE LENGTH=375,mitochondrion,#34.9,transport.metabolite transporters at the mitochondrial membrane,Metabolite Transporters,0.04,0.03,0.03,0.03,3,0.01,53,131
"AT1G55900.1, AT1G55900.2","  Symbols: TIM50, emb1860   Haloacid dehalogenase-like hydrolase (HAD) superfamily protein   chr1:20903163-20905420 FORWARD LENGTH=376,  Symbols: TIM50   Haloacid dehalogenase-like hydrolase (HAD) superfamily protein   chr1:20903163-20905420 FORWARD LENGTH=370",mitochondrion,#34.9,transport.metabolite transporters at the mitochondrial membrane,Metabolite Transporters,0.12,0.13,0.14,0.13,3,0.01,9,370
AT1G25380.1,"  Symbols: ATNDT2, NDT2   NAD+ transporter 2   chr1:8903726-8905818 FORWARD LENGTH=363",mitochondrion,#34.9,transport.metabolite transporters at the mitochondrial membrane,Metabolite Transporters,0.17,0.19,0.2,0.18,3,0.02,4,415
AT2G22500.1,"  Symbols: UCP5, ATPUMP5, DIC1   uncoupling protein 5   chr2:9563531-9564472 REVERSE LENGTH=313",mitochondrion,#34.9,transport.metabolite transporters at the mitochondrial membrane,Metabolite Transporters,0.33,0.41,0.41,0.38,3,0.04,12,452
"AT5G13490.1, AT5G13490.2","  Symbols: AAC2   ADP/ATP carrier 2   chr5:4336034-4337379 FORWARD LENGTH=385,  Symbols: AAC2   ADP/ATP carrier 2   chr5:4336034-4337379 FORWARD LENGTH=385",mitochondrion,#34.14,transport.unspecified cations,,-0.08,-0.05,-0.03,-0.06,3,0.02,19,2
AT1G71260.1,"  Symbols: ATWHY2, WHY2   WHIRLY 2   chr1:26861849-26863391 REVERSE LENGTH=238",mitochondrion,#28.99,DNA.unspecified,,-0.02,-0.02,-0.03,-0.03,3,0.01,19,8
"AT3G56070.1, AT3G56070.2","  Symbols: ROC2   rotamase cyclophilin 2   chr3:20806987-20807517 REVERSE LENGTH=176,  Symbols: ROC2   rotamase cyclophilin 2   chr3:20806987-20807517 REVERSE LENGTH=176",mitochondrion,#31.3.1,cell.cycle.peptidylprolyl isomerase,,-0.02,-0.02,-0.02,-0.02,3,0.01,23,13
AT2G46110.1,"  Symbols: PANB1, KPHMT1   ketopantoate hydroxymethyltransferase 1   chr2:18954807-18956411 REVERSE LENGTH=347",mitochondrion,#18.4.2,"Co-factor and vitamine metabolism.pantothenate.3-methyl-2-oxobutanoate hydroxymethyltransferase (KPHMT,PANB)",,-0.02,0,0.03,0,3,0.03,7,57
AT4G31810.1,  Symbols:    ATP-dependent caseinolytic (Clp) protease/crotonase family protein   chr4:15387365-15390290 REVERSE LENGTH=409,mitochondrion,#11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase,,0.01,0.01,-0.01,0,3,0.01,15,60
AT4G00860.1,"  Symbols: ATOZI1, AT0ZI1   Protein of unknown function (DUF1138)   chr4:359548-359868 REVERSE LENGTH=80",mitochondrion,#20,stress,,0.01,-0.03,0.05,0.01,3,0.04,3,70
"AT1G03860.1, AT1G03860.3","  Symbols: ATPHB2, PHB2   prohibitin 2   chr1:979611-981157 REVERSE LENGTH=286,  Symbols: ATPHB2, PHB2   prohibitin 2   chr1:979611-981157 REVERSE LENGTH=286",mitochondrion,#31.3,cell.cycle,,0.01,0.01,0,0.01,3,0.01,9,72
AT1G23100.1,  Symbols:    GroES-like family protein   chr1:8195867-8196336 FORWARD LENGTH=97,mitochondrion,#29.4,protein.postranslational modification,,0.01,0.01,0,0.01,3,0.01,24,74
AT5G23300.1,  Symbols: PYRD   pyrimidine d   chr5:7847792-7850243 REVERSE LENGTH=460,mitochondrion,#23.1.1.4,nucleotide metabolism.synthesis.pyrimidine.dihydroorotate dehydrogenase,,0.01,0.02,0.01,0.01,3,0.01,33,80
AT5G46800.1,  Symbols: BOU   Mitochondrial substrate carrier family protein   chr5:18988779-18989810 REVERSE LENGTH=300,mitochondrion,#34.9,transport.metabolite transporters at the mitochondrial membrane,,0.01,0.01,0.02,0.01,3,0.01,43,84
AT1G63730.1,  Symbols:    Disease resistance protein (TIR-NBS-LRR class) family   chr1:23641770-23645132 FORWARD LENGTH=966,mitochondrion,#20.1.7,stress.biotic.PR-proteins,,0.01,0.02,0.01,0.01,3,0.01,3,86
"AT3G08580.1, AT3G08580.2","  Symbols: AAC1   ADP/ATP carrier 1   chr3:2605706-2607030 REVERSE LENGTH=381,  Symbols: AAC1   ADP/ATP carrier 1   chr3:2605706-2607030 REVERSE LENGTH=381",mitochondrion,#34.8,transport.metabolite transporters at the envelope membrane,,0.02,0.01,0.03,0.02,3,0.02,41,100
"AT4G30000.1, AT4G30000.2","  Symbols:    Dihydropterin pyrophosphokinase / Dihydropteroate synthase   chr4:14670524-14672397 REVERSE LENGTH=554,  Symbols:    Dihydropterin pyrophosphokinase / Dihydropteroate synthase   chr4:14670417-14672397 REVERSE LENGTH=561",mitochondrion,#25.3,C1-metabolism.dihydropteridine diphosphokinase,,0,0.04,0.03,0.02,3,0.01,7,110
"AT1G04640.1, AT1G04640.2","  Symbols: LIP2   lipoyltransferase 2   chr1:1292541-1293248 FORWARD LENGTH=235,  Symbols: LIP2   lipoyltransferase 2   chr1:1292541-1293248 FORWARD LENGTH=235",mitochondrion,#18,Co-factor and vitamine metabolism,,0.03,0.02,0.03,0.02,3,0.02,16,117
AT3G47930.1,"  Symbols: ATGLDH, GLDH   L-galactono-1,4-lactone dehydrogenase   chr3:17684500-17687426 FORWARD LENGTH=610",mitochondrion,#21.2.1.5,"redox.ascorbate and glutathione.ascorbate.L-Galactono-1,4-lactone dehydrogenase",,0.03,0.04,0.01,0.02,3,0.02,8,118
AT3G54110.1,"  Symbols: ATPUMP1, UCP, PUMP1, ATUCP1, UCP1   plant uncoupling mitochondrial protein 1   chr3:20038890-20040996 FORWARD LENGTH=306",mitochondrion,#9.8,mitochondrial electron transport / ATP synthesis.uncoupling protein,,0.02,0.03,0.03,0.03,3,0.01,49,121
AT5G50370.1,  Symbols:    Adenylate kinase family protein   chr5:20509382-20510631 REVERSE LENGTH=248,mitochondrion,#23.4.1,nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase,,0.04,0.03,0.03,0.03,3,0.02,18,132
AT3G01280.1,"  Symbols: VDAC1, ATVDAC1   voltage dependent anion channel 1   chr3:85754-87612 FORWARD LENGTH=276",mitochondrion,#34.20,transport.porins,,0.04,0.04,0.03,0.03,3,0.01,36,147
AT5G57490.1,"  Symbols: VDAC4, ATVDAC4   voltage dependent anion channel 4   chr5:23283895-23285335 REVERSE LENGTH=274",mitochondrion,#34.18,transport.unspecified anions,,0.05,0.03,0.04,0.04,3,0.02,24,152
AT4G34700.1,"  Symbols: CIB22, AtCIB22   LYR family of Fe/S cluster biogenesis protein   chr4:16556874-16558362 FORWARD LENGTH=117",mitochondrion,#9,mitochondrial electron transport / ATP synthesis,,0.04,0.04,0.04,0.04,3,0.01,27,158
"AT5G15090.1, AT5G15090.2","  Symbols: VDAC3, ATVDAC3   voltage dependent anion channel 3   chr5:4889641-4891389 REVERSE LENGTH=274,  Symbols: VDAC3   voltage dependent anion channel 3   chr5:4889641-4891389 REVERSE LENGTH=274",mitochondrion,#34.20,transport.porins,,0.03,0.04,0.05,0.04,3,0.01,30,163
"AT2G35010.1, AT2G35010.2","  Symbols: ATO1, TO1   thioredoxin O1   chr2:14754398-14755888 FORWARD LENGTH=194,  Symbols: ATO1, TO1   thioredoxin O1   chr2:14754398-14755888 FORWARD LENGTH=194",mitochondrion,#21.1,redox.thioredoxin,,0.04,0.04,0.05,0.04,3,0.01,34,164
AT2G44620.1,"  Symbols: MTACP-1, MTACP1   mitochondrial acyl carrier protein 1   chr2:18414320-18415065 FORWARD LENGTH=122",mitochondrion,#11.1.12,lipid metabolism.FA synthesis and FA elongation.ACP protein,,0.05,0.05,0.04,0.04,3,0.01,6,177
AT4G11010.1,  Symbols: NDPK3   nucleoside diphosphate kinase 3   chr4:6732780-6734298 REVERSE LENGTH=238,mitochondrion,#23.4.10,nucleotide metabolism.phosphotransfer and pyrophosphatases.nucleoside diphosphate kinase,,0.05,0.05,0.03,0.04,3,0.02,11,179
AT5G58270.1,"  Symbols: STA1, ATATM3, ATM3   ABC transporter of the mitochondrion 3   chr5:23562168-23567040 FORWARD LENGTH=728",mitochondrion,#34.16,transport.ABC transporters and multidrug resistance systems,,0.04,0.06,0.05,0.05,3,0,20,190
AT3G10370.1,  Symbols: SDP6   FAD-dependent oxidoreductase family protein   chr3:3216502-3219027 FORWARD LENGTH=629,mitochondrion,#11.5.3,lipid metabolism.glyceral metabolism.FAD-dependent glycerol-3-phosphate dehydrogenase,,0.03,0.07,0.05,0.05,3,0.01,39,191
"AT2G07741.1, ATMG00410.1, ATMG01170.1","  Symbols:    ATPase, F0 complex, subunit A protein   chr2:3502319-3503476 FORWARD LENGTH=385,  Symbols: ATP6-1, ATP6   ATPase subunit 6-1   chrM:111750-112907 FORWARD LENGTH=385,  Symbols: ATP6-2   ATPase, F0 complex, subunit A protein   chrM:296820-297869 REVERSE LENGTH=349","mitochondrion,peroxisome",#34.1.1,transport.p- and v-ATPases.H+-transporting two-sector ATPase,,0.05,0.05,0.05,0.05,3,0.01,7,193
AT5G20080.1,  Symbols:    FAD/NAD(P)-binding oxidoreductase   chr5:6782708-6786360 FORWARD LENGTH=328,mitochondrion,#21.99,redox.misc,,0.05,0.05,0.04,0.05,3,0.01,37,194
AT5G63400.1,  Symbols: ADK1   adenylate kinase 1   chr5:25393274-25394817 REVERSE LENGTH=246,mitochondrion,#23.4.1,nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase,,0.05,0.05,0.05,0.05,3,0.01,27,195
AT5G49555.1,  Symbols:    FAD/NAD(P)-binding oxidoreductase family protein   chr5:20107411-20110602 REVERSE LENGTH=556,mitochondrion,#16.1.4,secondary metabolism.isoprenoids.carotenoids,,0.05,0.05,0.05,0.05,3,0.01,27,200
AT1G53000.1,  Symbols: KDSB   Nucleotide-diphospho-sugar transferases superfamily protein   chr1:19745330-19747133 REVERSE LENGTH=290,mitochondrion,#10.1.12.4,cell wall.precursor synthesis.KDO pathway.CMP-KDO Synthetase,,0.04,0.06,0.05,0.05,3,0,19,204
AT2G04540.1,  Symbols:    Beta-ketoacyl synthase   chr2:1581521-1584635 REVERSE LENGTH=461,mitochondrion,#11.1.3,lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase,,0.08,0.07,0.02,0.05,3,0.04,5,218
AT5G03290.1,  Symbols: IDH-V   isocitrate dehydrogenase V   chr5:794043-795939 FORWARD LENGTH=374,mitochondrion,#8.2.4,TCA / org transformation.other organic acid transformatons.IDH,,0.05,0.06,0.06,0.05,3,0.01,26,219
AT1G65290.1,  Symbols: mtACP2   mitochondrial acyl carrier protein 2   chr1:24249088-24250366 REVERSE LENGTH=126,mitochondrion,#11.1.12,lipid metabolism.FA synthesis and FA elongation.ACP protein,,0.06,0.05,0.05,0.05,3,0.02,15,220
AT4G16800.1,  Symbols:    ATP-dependent caseinolytic (Clp) protease/crotonase family protein   chr4:9454931-9457000 REVERSE LENGTH=301,mitochondrion,#11.9.4.3,lipid metabolism.lipid degradation.beta-oxidation.enoyl CoA hydratase,,0.07,0.04,0.06,0.05,3,0.02,8,221
