Locus Identifier	Gene Model Name	Gene Model Description	Gene Model Type	Primary Gene Symbol	All Gene Symbols
AT1G11125	AT1G11125.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G33820	AT1G33820.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G12672	AT1G12672.2	thionin-like protein;(source:Araport11)	protein_coding			
AT5G03750	AT5G03750.1	E3 ubiquitin-protein ligase;(source:Araport11)	protein_coding			
AT1G62210	AT1G62210.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G76200	AT1G76200.1	NADH dehydrogenase ubiquinone 1 beta subcomplex subunit;(source:Araport11)	protein_coding			
AT1G65090	AT1G65090.2	nucleolin;(source:Araport11)	protein_coding			
AT5G27440	AT5G27440.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G60840	AT5G60840.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G51650	AT3G51650.1	stress response NST1-like protein;(source:Araport11)	protein_coding			
AT5G27290	AT5G27290.1	stress regulated protein;(source:Araport11)	protein_coding			
AT1G32730	AT1G32730.1	electron carrier/iron ion-binding protein;(source:Araport11)	protein_coding			
AT3G33494	AT3G33494.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G13500	AT2G13500.1	Ta11-like non-LTR retrotransposon;(source:Araport11)	protein_coding			
AT3G48200	AT3G48200.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G25240	AT5G25240.1	stress induced protein;(source:Araport11)	protein_coding			
AT3G13404	AT3G13404.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G67860	AT1G67860.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G60240	AT5G60240.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G11020	AT4G11020.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G66480	AT5G66480.1	bacteriophage N4 adsorption B protein;(source:Araport11)	protein_coding			
AT1G69070	AT1G69070.1	nucleolar-like protein;(source:Araport11)	protein_coding			
AT5G14710	AT5G14710.1	proteasome assembly chaperone-like protein;(source:Araport11)	protein_coding			
AT3G51130	AT3G51130.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G41071	AT5G41071.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT4G13500	AT4G13500.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G16432	AT3G16432.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G42700	AT1G42700.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G77910	AT1G77910.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G50550	AT3G50550.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G14460	AT2G14460.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G05310	AT2G05310.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G27120	AT4G27120.1	DDRGK domain protein;(source:Araport11)	protein_coding			
AT4G33100	AT4G33100.1	protein phosphatase;(source:Araport11)	protein_coding			
AT3G19085	AT3G19085.1	F-box/RNI/FBD-like domain protein;(source:Araport11)	protein_coding			
AT1G64370	AT1G64370.1	filaggrin-like protein;(source:Araport11)	protein_coding			
AT2G27540	AT2G27540.1	F-box associated ubiquitination effector family protein;(source:Araport11)	protein_coding			
AT3G14830	AT3G14830.1	epstein-barr nuclear antigen;(source:Araport11)	protein_coding			
AT1G50730	AT1G50730.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G15518	AT3G15518.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G19900	AT3G19900.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G50410	AT5G50410.1	ribonucleoside-diphosphate reductase subunit beta;(source:Araport11)	protein_coding			
AT3G06895	AT3G06895.1	syntaxin KNOLLE-like protein;(source:Araport11)	protein_coding			
AT5G07490	AT5G07490.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G32120	AT1G32120.1	serine/threonine-protein phosphatase 7 long form-like protein;(source:Araport11)	protein_coding			
AT2G14635	AT2G14635.1	ARABIDILLO protein;(source:Araport11)	protein_coding			
AT5G28090	AT5G28090.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G28120	AT1G28120.1	ubiquitin thioesterase otubain-like protein;(source:Araport11)	protein_coding			
AT4G01590	AT4G01590.1	DNA-directed RNA polymerase III subunit;(source:Araport11)	protein_coding			
AT5G28960	AT5G28960.1	alpha-(1,6)-fucosyltransferase;(source:Araport11)	protein_coding			
AT5G24500	AT5G24500.1	fantom protein;(source:Araport11)	protein_coding			
AT4G12450	AT4G12450.1	zinc finger (C2H2 type) family protein;(source:Araport11)	protein_coding			
AT1G44608	AT1G44608.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G56250	AT3G56250.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G64230	AT5G64230.1	1,8-cineole synthase;(source:Araport11)	protein_coding			
AT5G41761	AT5G41761.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G49032	AT1G49032.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G23370	AT4G23370.1	carboxyl-terminal peptidase;(source:Araport11)	protein_coding			
AT3G61870	AT3G61870.1	plant/protein;(source:Araport11)	protein_coding			
AT1G70350	AT1G70350.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G48200	AT1G48200.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G13050	AT1G13050.1	proline-rich receptor-like kinase;(source:Araport11)	protein_coding			
AT5G09976	AT5G09976.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G21920	AT4G21920.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G32240	AT4G32240.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G38401	AT4G38401.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G51840	AT5G51840.1	junctophilin-like protein;(source:Araport11)	protein_coding			
AT4G24265	AT4G24265.1	homeobox protein;(source:Araport11)	protein_coding			
AT5G13950	AT5G13950.3	nuclear factor kappa-B-binding protein;(source:Araport11)	protein_coding			
AT5G44585	AT5G44585.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G11405	AT2G11405.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G05810	AT3G05810.1	IGR motif protein;(source:Araport11)	protein_coding			
AT1G33500	AT1G33500.1	tropomyosin;(source:Araport11)	protein_coding			
AT2G27830	AT2G27830.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G07724	AT2G07724.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G60350	AT5G60350.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G03580	AT4G03580.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G06019	AT3G06019.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G48780	AT1G48780.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G11590	AT3G11590.1	golgin family A protein;(source:Araport11)	protein_coding			
AT5G12240	AT5G12240.1	octanoyltransferase;(source:Araport11)	protein_coding			
AT5G13090	AT5G13090.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G05612	AT4G05612.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G15770	AT1G15770.1	mediator of RNA polymerase II transcription subunit;(source:Araport11)	protein_coding			
AT2G14390	AT2G14390.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G24980	AT5G24980.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G00651	AT4G00651.1	Fe superoxide dismutase;(source:Araport11)	protein_coding			
AT1G24600	AT1G24600.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G07795	AT1G07795.1	forkhead box protein G1;(source:Araport11)	protein_coding			
AT3G32190	AT3G32190.1	myosin heavy chain-like protein;(source:Araport11)	protein_coding			
AT3G02420	AT3G02420.1	dihydroflavonol 4-reductase/flavanone protein;(source:Araport11)	protein_coding			
AT1G60010	AT1G60010.1	D-ribose-binding periplasmic protein;(source:Araport11)	protein_coding			
AT5G35695	AT5G35695.1	nuclease HARBI1-like protein;(source:Araport11)	protein_coding			
AT1G06810	AT1G06810.1	endonuclease/glycosyl hydrolase;(source:Araport11)	protein_coding			
AT4G39840	AT4G39840.1	cell wall integrity/stress response component-like protein;(source:Araport11)	protein_coding			
AT5G34829	AT5G34829.1	transmembrane protein;(source:Araport11)	protein_coding			
AT2G17972	AT2G17972.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G64385	AT1G64385.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G53542	AT1G53542.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G19220	AT2G19220.1	Myb/SANT-like DNA-binding domain protein;(source:Araport11)	protein_coding			
AT4G25070	AT4G25070.2	caldesmon-like protein;(source:Araport11)	protein_coding			
AT3G59880	AT3G59880.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G52530	AT1G52530.1	Hus1-like protein;(source:Araport11)	protein_coding			
AT2G20835	AT2G20835.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G56070	AT5G56070.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G26340	AT2G26340.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G18335	AT4G18335.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G24110	AT4G24110.1	NADP-specific glutamate dehydrogenase;(source:Araport11)	protein_coding			
AT2G34330	AT2G34330.1	LOW protein: protein BOBBER-like protein;(source:Araport11)	protein_coding			
AT5G29054	AT5G29054.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT5G59613	AT5G59613.1	ATP synthase;(source:Araport11)	protein_coding			
AT2G43865	AT2G43865.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G22000	AT4G22000.1	tyrosine sulfotransferase-like protein;(source:Araport11)	protein_coding			
AT1G50290	AT1G50290.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G11773	AT2G11773.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G19060	AT5G19060.1	cytochrome P450 family protein;(source:Araport11)	protein_coding			
AT5G67245	AT5G67245.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G54420	AT1G54420.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G63057	AT1G63057.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G30150	AT4G30150.1	Urb2/Npa2 family protein;(source:Araport11)	protein_coding			
AT3G52240	AT3G52240.1	transcriptional regulator ATRX;(source:Araport11)	protein_coding			
AT4G09731	AT4G09731.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT2G11570	AT2G11570.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G24550	AT2G24550.1	major centromere autoantigen B-like protein;(source:Araport11)	protein_coding			
AT4G26130	AT4G26130.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT4G13575	AT4G13575.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G57370	AT5G57370.1	U4/U6.U5 small nuclear ribonucleoprotein;(source:Araport11)	protein_coding			
AT3G28370	AT3G28370.1	spindle assembly checkpoint component;(source:Araport11)	protein_coding			
AT3G43410	AT3G43410.1	F-box/LRR protein;(source:Araport11)	protein_coding			
AT1G45229	AT1G45229.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G20450	AT5G20450.1	myosin;(source:Araport11)	protein_coding			
AT1G05040	AT1G05040.1	UBA-like domain protein;(source:Araport11)	protein_coding			
AT5G54148	AT5G54148.1	sarcosine dehydrogenase-2C protein;(source:Araport11)	protein_coding			
AT1G31940	AT1G31940.1	cystic fibrosis transmembrane conductance regulator;(source:Araport11)	protein_coding			
AT5G53486	AT5G53486.4	transmembrane protein;(source:Araport11)	protein_coding			
AT3G33393	AT3G33393.1	myosin heavy chain-like protein;(source:Araport11)	protein_coding			
AT3G04040	AT3G04040.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G06150	AT3G06150.1	cytochrome P450 family protein;(source:Araport11)	protein_coding			
AT5G48280	AT5G48280.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G58880	AT5G58880.1	LRR protein;(source:Araport11)	protein_coding			
AT3G05980	AT3G05980.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G04795	AT2G04795.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G19550	AT3G19550.1	glutamate racemase;(source:Araport11)	protein_coding			
AT3G03160	AT3G03160.1	B-cell receptor-associated-like protein;(source:Araport11)	protein_coding			
AT2G22520	AT2G22520.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G24617	AT2G24617.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G13650	AT1G13650.2	hypothetical protein;(source:Araport11)	protein_coding			
AT3G09860	AT3G09860.1	actin T1-like protein;(source:Araport11)	protein_coding			
AT5G11600	AT5G11600.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G30370	AT3G30370.1	MuDR family transposase;(source:Araport11)	protein_coding			
AT3G11690	AT3G11690.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G44235	AT3G44235.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G17540	AT4G17540.1	dynamin;(source:Araport11)	protein_coding			
AT3G03460	AT3G03460.1	mediator of RNA polymerase II transcription subunit-like protein;(source:Araport11)	protein_coding			
AT2G07708	AT2G07708.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G54145	AT5G54145.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G12345	AT3G12345.1	FKBP-type peptidyl-prolyl cis-trans isomerase;(source:Araport11)	protein_coding			
AT4G04925	AT4G04925.1	transmembrane protein;(source:Araport11)	protein_coding			
AT5G50335	AT5G50335.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G47278	AT1G47278.2	hypothetical protein;(source:Araport11)	protein_coding			
AT4G35940	AT4G35940.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G17000	AT4G17000.1	neurofilament heavy protein;(source:Araport11)	protein_coding			
AT1G51970	AT1G51970.1	B3 domain protein;(source:Araport11)	protein_coding			
AT3G05080	AT3G05080.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G12370	AT4G12370.1	F-box/kelch-repeat protein;(source:Araport11)	protein_coding			
AT3G45673	AT3G45673.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT5G22190	AT5G22190.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G08097	AT4G08097.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G28190	AT3G28190.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G29110	AT4G29110.1	cotton fiber protein;(source:Araport11)	protein_coding			
AT1G05430	AT1G05430.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G37240	AT5G37240.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G22400	AT4G22400.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G67855	AT1G67855.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G07730	AT5G07730.1	transmembrane protein;(source:Araport11)	protein_coding			
AT4G39860	AT4G39860.1	hematological/neurological-like protein;(source:Araport11)	protein_coding			
AT1G22790	AT1G22790.1	Low affinity potassium transport system protein;(source:Araport11)	protein_coding			
AT1G20770	AT1G20770.1	coiled-coil protein;(source:Araport11)	protein_coding			
AT4G16855	AT4G16855.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G49890	AT3G49890.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G18773	AT1G18773.1	acyl thioesterase-like protein;(source:Araport11)	protein_coding			
AT3G15604	AT3G15604.1	hypothetical protein;(source:Araport11)	protein_coding			
AT5G26620	AT5G26620.1	hypothetical protein;(source:Araport11)	protein_coding			
AT2G43390	AT2G43390.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G27030	AT3G27030.1	transmembrane protein;(source:Araport11)	protein_coding			
AT1G66245	AT1G66245.1	hypothetical protein;(source:Araport11)	protein_coding			
AT1G74220	AT1G74220.1	homeobox-like protein;(source:Araport11)	protein_coding			
AT3G01060	AT3G01060.1	lysine-tRNA ligase;(source:Araport11)	protein_coding			
AT1G77400	AT1G77400.1	extensin-like protein;(source:Araport11)	protein_coding			
AT5G18404	AT5G18404.1	This gene encodes a small protein and has either evidence of transcription or purifying selection.	protein_coding			
AT3G03560	AT3G03560.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G49990	AT3G49990.1	Low temperature viability protein;(source:Araport11)	protein_coding			
AT1G17285	AT1G17285.1	transmembrane protein;(source:Araport11)	protein_coding			
AT3G45110	AT3G45110.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G08867	AT4G08867.1	hypothetical protein;(source:Araport11)	protein_coding			
AT3G50320	AT3G50320.1	hypothetical protein;(source:Araport11)	protein_coding			
AT4G00893	AT4G00893.1	F-box/kelch-repeat protein;(source:Araport11)	protein_coding			
